State,"County, State",Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
TX,Nacogdoches,2019,0.188,12290.0,0.34,0.2,0.14,1.65,0.691,0.309,0.261,3950.0,0.7,0.3,2.95,16.61,6192000.0
TX,Navarro,2019,0.161,7880.0,0.3,0.17,0.12,1.65,0.709,0.291,0.224,2880.0,0.76,0.24,2.61,14.71,3516000.0
TX,Newton,2019,0.199,2760.0,0.28,,0.14,1.65,0.642,0.358,0.309,870.0,0.62,0.38,2.91,16.43,1375000.0
TX,Nolan,2019,0.159,2380.0,,0.19,0.13,1.65,0.705,0.295,0.211,820.0,0.75,0.26,2.91,16.42,1186000.0
TX,Nueces,2019,0.147,52970.0,0.26,0.18,0.11,1.65,0.711,0.289,0.202,18070.0,0.76,0.24,2.79,15.71,25246000.0
TX,Ochiltree,2019,0.127,1290.0,,0.16,0.1,1.65,0.834,0.166,0.173,540.0,0.95,0.05,2.93,16.52,646000.0
TX,Oldham,2019,0.123,260.0,,,0.08,1.65,0.385,0.615,0.147,100.0,0.16,0.84,3.03,17.1,135000.0
TX,Orange,2019,0.165,13830.0,0.24,0.17,0.1,1.65,0.491,0.509,0.234,4890.0,0.55,0.45,2.98,16.78,7041000.0
TX,Palo Pinto,2019,0.172,4920.0,,0.21,0.13,1.65,0.655,0.345,0.242,1620.0,0.83,0.18,2.86,16.12,2405000.0
TX,Panola,2019,0.159,3710.0,0.2,0.18,0.11,1.65,0.649,0.351,0.251,1380.0,0.71,0.29,2.81,15.81,1779000.0
TX,Parker,2019,0.125,16710.0,,0.14,0.08,1.65,0.412,0.588,0.159,5270.0,0.59,0.41,3.17,17.88,9062000.0
TX,Parmer,2019,0.125,1210.0,,0.17,0.09,1.65,0.809,0.191,0.169,480.0,0.81,0.19,3.02,17.02,625000.0
TX,Pecos,2019,0.12,1890.0,,0.17,0.08,1.65,0.643,0.357,0.176,680.0,0.87,0.13,2.93,16.5,946000.0
TX,Polk,2019,0.184,8990.0,0.25,0.16,0.14,1.65,0.573,0.427,0.286,2840.0,0.74,0.26,2.83,15.96,4353000.0
TX,Potter,2019,0.162,19400.0,0.28,0.19,0.12,1.65,0.774,0.226,0.211,6960.0,0.85,0.15,2.87,16.2,9531000.0
TX,Presidio,2019,0.242,1690.0,,0.28,,1.65,1.0,0.0,0.347,630.0,0.87,0.13,3.18,17.93,919000.0
TX,Rains,2019,0.163,1920.0,,0.16,0.12,1.65,0.522,0.478,0.204,470.0,0.68,0.32,2.97,16.73,975000.0
TX,Randall,2019,0.121,16220.0,0.22,0.15,0.08,1.65,0.434,0.566,0.152,4900.0,0.55,0.45,3.35,18.88,9291000.0
TX,Reagan,2019,0.096,360.0,,0.14,0.07,1.65,0.72,0.28,0.126,160.0,0.69,0.31,2.87,16.15,176000.0
TX,Real,2019,0.207,710.0,,,0.14,1.65,0.71,0.29,0.314,280.0,0.65,0.35,2.64,14.87,320000.0
TX,Red River,2019,0.183,2230.0,0.24,,0.12,1.65,0.651,0.349,0.256,630.0,0.7,0.3,2.75,15.52,1050000.0
TX,Reeves,2019,0.107,1650.0,,0.17,0.11,1.65,0.677,0.323,0.159,550.0,0.71,0.29,2.93,16.49,825000.0
TX,Refugio,2019,0.156,1110.0,,0.2,0.12,1.65,0.628,0.372,0.233,390.0,0.63,0.38,2.73,15.41,519000.0
TX,Roberts,2019,0.148,120.0,,,0.08,1.65,0.423,0.577,0.187,40.0,0.5,0.5,3.19,17.98,65000.0
TX,Robertson,2019,0.137,2330.0,0.26,0.12,0.11,1.65,0.635,0.365,0.202,820.0,0.62,0.38,2.74,15.46,1093000.0
TX,Rockwall,2019,0.096,9280.0,0.11,0.11,0.05,1.65,0.298,0.702,0.128,3390.0,0.36,0.64,3.08,17.37,4889000.0
TX,Runnels,2019,0.152,1570.0,,0.19,0.11,1.65,0.648,0.352,0.21,500.0,0.68,0.32,2.85,16.05,764000.0
TX,Rusk,2019,0.137,7380.0,0.23,0.16,0.1,1.65,0.573,0.427,0.201,2440.0,0.67,0.33,2.79,15.72,3520000.0
TX,Sabine,2019,0.206,2150.0,0.22,,0.15,1.65,0.686,0.314,0.33,650.0,0.8,0.2,2.93,16.53,1078000.0
TX,San Augustine,2019,0.21,1740.0,0.28,,0.14,1.65,0.663,0.337,0.307,500.0,0.6,0.4,2.87,16.18,854000.0
TX,San Jacinto,2019,0.173,4880.0,0.22,0.16,0.13,1.65,0.671,0.329,0.247,1540.0,0.79,0.21,3.33,18.75,2776000.0
TX,San Patricio,2019,0.152,10180.0,0.22,0.19,0.09,1.65,0.722,0.278,0.223,4040.0,0.81,0.19,2.83,15.94,4921000.0
TX,San Saba,2019,0.153,910.0,,0.18,0.11,1.65,0.659,0.341,0.23,290.0,0.96,0.04,2.69,15.13,418000.0
TX,Schleicher,2019,0.127,380.0,,0.16,0.13,1.65,0.542,0.458,0.149,120.0,0.5,0.5,2.77,15.63,180000.0
TX,Scurry,2019,0.137,2340.0,,0.17,0.1,1.65,0.607,0.393,0.181,780.0,0.69,0.31,2.96,16.69,1185000.0
TX,Shackelford,2019,0.15,500.0,,,0.12,1.65,0.52,0.48,0.213,160.0,0.59,0.41,2.91,16.41,249000.0
TX,Shelby,2019,0.179,4530.0,0.31,0.21,0.12,1.65,0.702,0.298,0.288,1910.0,0.68,0.32,2.87,16.18,2223000.0
TX,Sherman,2019,0.144,440.0,,0.17,,1.65,0.623,0.377,0.196,130.0,0.94,0.06,2.91,16.43,219000.0
TX,Smith,2019,0.148,33700.0,0.23,0.17,0.11,1.65,0.625,0.375,0.21,11780.0,0.64,0.36,2.95,16.62,16991000.0
TX,Somervell,2019,0.18,1590.0,,,0.11,1.65,0.476,0.524,0.219,440.0,0.48,0.52,2.92,16.44,793000.0
TX,Starr,2019,0.211,13550.0,,0.24,,1.65,1.0,0.0,0.316,6680.0,0.91,0.09,2.62,14.78,6073000.0
TX,Stephens,2019,0.168,1570.0,,0.16,0.15,1.65,0.619,0.381,0.238,500.0,0.74,0.26,3.01,16.97,808000.0
TX,Sterling,2019,0.081,100.0,,,0.06,1.65,0.776,0.224,0.111,50.0,0.92,0.09,2.9,16.35,50000.0
TX,Stonewall,2019,0.154,230.0,,,0.08,1.65,0.562,0.438,0.198,80.0,0.63,0.37,2.96,16.71,117000.0
TX,Sutton,2019,0.124,480.0,,0.17,0.09,1.65,0.546,0.454,0.176,180.0,0.65,0.36,2.56,14.44,210000.0
TX,Swisher,2019,0.178,1320.0,,0.22,0.12,1.65,0.731,0.269,0.284,530.0,0.74,0.26,3.02,17.04,682000.0
TX,Tarrant,2019,0.13,266980.0,0.22,0.16,0.09,1.65,0.588,0.412,0.184,100290.0,0.63,0.37,3.0,16.89,136781000.0
TX,Taylor,2019,0.159,21730.0,0.24,0.18,0.11,1.65,0.604,0.396,0.206,6980.0,0.69,0.31,2.9,16.35,10780000.0
TX,Terrell,2019,0.099,90.0,,,,1.65,0.929,0.071,0.187,30.0,0.31,0.69,2.66,14.98,41000.0
TX,Terry,2019,0.155,1940.0,,0.2,0.11,1.65,0.792,0.208,0.237,820.0,0.88,0.12,3.09,17.43,1025000.0
TX,Throckmorton,2019,0.187,270.0,,,0.13,1.65,0.561,0.439,0.255,60.0,0.73,0.27,3.04,17.14,140000.0
TX,Titus,2019,0.153,5000.0,0.24,0.17,0.11,1.65,0.796,0.204,0.217,2050.0,0.87,0.13,2.56,14.42,2187000.0
TX,Tom Green,2019,0.141,16620.0,0.22,0.17,0.11,1.65,0.581,0.419,0.188,5260.0,0.67,0.33,2.76,15.57,7849000.0
TX,Travis,2019,0.128,156910.0,0.22,0.16,0.09,1.65,0.538,0.462,0.152,41130.0,0.66,0.34,3.34,18.84,89650000.0
TX,Trinity,2019,0.188,2750.0,0.29,0.21,0.12,1.65,0.682,0.318,0.291,870.0,0.72,0.28,2.83,15.93,1329000.0
TX,Tyler,2019,0.184,3950.0,0.39,0.13,0.15,1.65,0.481,0.519,0.266,1110.0,0.57,0.43,2.84,16.02,1920000.0
TX,Upshur,2019,0.166,6810.0,0.21,0.17,0.12,1.65,0.564,0.436,0.233,2280.0,0.7,0.3,2.91,16.43,3393000.0
TX,Upton,2019,0.114,420.0,,0.18,0.07,1.65,0.638,0.362,0.17,160.0,0.74,0.26,2.91,16.38,209000.0
TX,Uvalde,2019,0.142,3820.0,,0.2,0.1,1.65,0.913,0.087,0.21,1530.0,0.91,0.09,2.3,12.95,1501000.0
TX,Val Verde,2019,0.148,7230.0,,0.2,0.12,1.65,0.914,0.086,0.207,2890.0,0.92,0.08,2.33,13.14,2882000.0
TX,Van Zandt,2019,0.159,8780.0,0.21,0.2,0.11,1.65,0.549,0.451,0.216,2760.0,0.68,0.32,3.03,17.05,4542000.0
TX,Victoria,2019,0.144,13240.0,0.2,0.19,0.1,1.65,0.669,0.331,0.195,4570.0,0.68,0.32,2.51,14.15,5685000.0
TX,Walker,2019,0.151,10940.0,0.26,0.19,0.12,1.65,0.597,0.403,0.216,2330.0,0.64,0.36,2.81,15.85,5261000.0
TX,Waller,2019,0.134,6960.0,0.27,0.17,0.08,1.65,0.661,0.339,0.2,2500.0,0.72,0.28,3.03,17.06,3601000.0
TX,Ward,2019,0.112,1310.0,,0.16,0.09,1.65,0.699,0.301,0.154,500.0,0.78,0.22,2.88,16.21,644000.0
TX,Washington,2019,0.14,4940.0,0.28,0.17,0.08,1.65,0.582,0.418,0.209,1610.0,0.78,0.22,2.82,15.87,2378000.0
TX,Webb,2019,0.158,43300.0,0.33,0.2,0.11,1.65,0.952,0.048,0.224,20400.0,0.88,0.12,2.63,14.85,19501000.0
TX,Wharton,2019,0.149,6200.0,0.28,0.19,0.09,1.65,0.774,0.226,0.221,2390.0,0.72,0.28,2.57,14.49,2725000.0
TX,Wheeler,2019,0.167,890.0,,0.2,0.12,1.65,0.647,0.353,0.235,320.0,0.86,0.14,3.05,17.17,464000.0
TX,Wichita,2019,0.17,22340.0,0.29,0.18,0.13,1.65,0.571,0.429,0.222,6540.0,0.74,0.26,2.95,16.6,11249000.0
TX,Wilbarger,2019,0.19,2440.0,,0.19,0.14,1.65,0.734,0.266,0.265,760.0,0.79,0.21,2.94,16.58,1227000.0
TX,Willacy,2019,0.188,4050.0,,0.22,0.14,1.65,1.0,0.0,0.293,1520.0,0.99,0.01,2.24,12.63,1551000.0
TX,Williamson,2019,0.11,60430.0,0.17,0.13,0.08,1.65,0.368,0.632,0.137,19550.0,0.46,0.54,3.29,18.57,34039000.0
TX,Wilson,2019,0.109,5350.0,0.12,0.15,0.07,1.65,0.496,0.504,0.152,1840.0,0.61,0.39,2.73,15.36,2493000.0
TX,Winkler,2019,0.114,890.0,,0.15,0.12,1.65,0.695,0.305,0.174,410.0,0.65,0.35,2.96,16.65,450000.0
TX,Wise,2019,0.144,9520.0,,0.17,0.1,1.65,0.492,0.508,0.198,3260.0,0.65,0.35,3.07,17.33,5004000.0
TX,Wood,2019,0.169,7520.0,0.24,0.19,0.12,1.65,0.529,0.471,0.253,2180.0,0.75,0.26,3.11,17.53,3999000.0
TX,Yoakum,2019,0.09,780.0,,0.13,0.08,1.65,0.82,0.18,0.126,360.0,0.87,0.13,3.1,17.48,414000.0
TX,Young,2019,0.143,2570.0,,0.15,0.1,1.65,0.587,0.413,0.194,850.0,0.68,0.32,3.0,16.92,1319000.0
TX,Zapata,2019,0.194,2780.0,,0.24,,1.65,0.915,0.085,0.28,1340.0,0.82,0.19,2.45,13.83,1166000.0
TX,Zavala,2019,0.215,2590.0,,0.24,0.42,1.65,1.0,0.0,0.373,1330.0,0.97,0.04,2.33,13.15,1033000.0
TX,Anderson,2020,0.139,8060.0,0.25,0.18,0.08,1.65,0.555,0.445,0.221,2450.0,0.84,0.16,2.91,15.45,3777000.0
TX,Andrews,2020,0.12,2200.0,,0.17,0.05,1.65,0.613,0.387,0.182,1020.0,0.7,0.3,3.24,17.2,1148000.0
TX,Angelina,2020,0.174,15170.0,0.29,0.2,0.1,1.65,0.722,0.278,0.257,5710.0,0.77,0.23,2.89,15.35,7065000.0
TX,Aransas,2020,0.186,4500.0,,0.24,0.1,1.65,0.653,0.347,0.276,1340.0,0.77,0.23,3.1,16.44,2244000.0
TX,Archer,2020,0.137,1200.0,,0.18,0.08,1.65,0.515,0.485,0.158,300.0,0.6,0.4,3.08,16.34,595000.0
TX,Armstrong,2020,0.105,210.0,,,0.04,1.65,0.432,0.568,0.124,60.0,0.77,0.23,2.96,15.69,100000.0
TX,Atascosa,2020,0.116,5830.0,,0.17,0.07,1.65,0.7,0.3,0.177,2410.0,0.75,0.25,2.74,14.55,2573000.0
TX,Austin,2020,0.135,4030.0,0.32,0.17,0.06,1.65,0.596,0.404,0.19,1360.0,0.63,0.37,3.06,16.22,1982000.0
TX,Bailey,2020,0.102,710.0,,0.17,0.06,1.65,0.689,0.311,0.139,270.0,1.0,0.0,3.29,17.47,376000.0
TX,Bandera,2020,0.149,3400.0,,0.18,0.1,1.65,0.558,0.442,0.206,780.0,0.6,0.4,3.32,17.6,1815000.0
TX,Bastrop,2020,0.12,10440.0,0.23,0.16,0.07,1.65,0.585,0.415,0.178,3940.0,0.73,0.27,3.17,16.85,5337000.0
TX,Baylor,2020,0.157,560.0,,,0.08,1.65,0.562,0.438,0.167,130.0,0.52,0.48,3.08,16.34,278000.0
TX,Bee,2020,0.169,5500.0,0.32,0.22,0.1,1.65,0.594,0.406,0.27,1880.0,0.88,0.13,2.82,14.97,2498000.0
TX,Bell,2020,0.151,53820.0,0.25,0.19,0.1,1.65,0.645,0.355,0.244,24020.0,0.67,0.33,2.75,14.58,23810000.0
TX,Bexar,2020,0.146,288320.0,0.24,0.2,0.09,1.65,0.684,0.316,0.223,112810.0,0.74,0.26,2.81,14.9,130343000.0
TX,Blanco,2020,0.129,1510.0,,0.16,0.09,1.65,0.518,0.482,0.155,320.0,0.64,0.36,2.5,13.26,607000.0
TX,Borden,2020,0.117,80.0,,,0.07,1.65,0.31,0.69,0.164,30.0,0.27,0.73,2.95,15.67,38000.0
TX,Bosque,2020,0.155,2850.0,,0.19,0.09,1.65,0.57,0.43,0.218,850.0,0.7,0.3,2.99,15.85,1370000.0
TX,Bowie,2020,0.16,14990.0,0.27,0.15,0.09,1.65,0.58,0.42,0.245,5430.0,0.7,0.3,2.9,15.4,7001000.0
TX,Brazoria,2020,0.116,42840.0,0.15,0.15,0.06,1.65,0.459,0.541,0.168,16310.0,0.52,0.48,2.95,15.67,20367000.0
TX,Brazos,2020,0.15,34030.0,0.29,0.2,0.12,1.65,0.72,0.28,0.19,8870.0,0.71,0.29,2.83,15.0,15483000.0
TX,Brewster,2020,0.158,1460.0,,0.2,0.11,1.65,0.627,0.373,0.173,310.0,0.49,0.51,2.82,14.99,664000.0
TX,Briscoe,2020,0.154,210.0,,,0.09,1.65,0.867,0.133,0.177,40.0,1.0,0.0,2.94,15.58,99000.0
TX,Brooks,2020,0.239,1700.0,,0.28,0.19,1.65,0.827,0.173,0.398,660.0,0.82,0.18,2.92,15.48,798000.0
TX,Brown,2020,0.15,5680.0,0.28,0.18,0.09,1.65,0.621,0.379,0.202,1660.0,0.67,0.33,3.0,15.92,2743000.0
TX,Burleson,2020,0.134,2440.0,0.21,0.18,0.07,1.65,0.473,0.527,0.193,770.0,0.5,0.5,2.83,15.0,1110000.0
TX,Burnet,2020,0.121,5760.0,0.27,0.17,0.07,1.65,0.616,0.384,0.16,1600.0,0.81,0.19,3.07,16.32,2851000.0
TX,Caldwell,2020,0.139,5930.0,0.24,0.18,0.08,1.65,0.687,0.313,0.198,2030.0,0.7,0.3,3.08,16.37,2945000.0
TX,Calhoun,2020,0.12,2580.0,,0.18,0.07,1.65,0.644,0.356,0.168,870.0,0.8,0.21,2.92,15.5,1213000.0
TX,Callahan,2020,0.139,1940.0,,0.19,0.08,1.65,0.607,0.393,0.179,550.0,0.9,0.1,2.97,15.77,928000.0
TX,Cameron,2020,0.179,75390.0,0.24,0.22,0.1,1.65,0.901,0.099,0.283,36370.0,0.91,0.09,2.45,12.99,29708000.0
TX,Camp,2020,0.167,2160.0,0.23,0.2,0.12,1.65,0.671,0.329,0.258,880.0,0.69,0.31,2.73,14.47,948000.0
TX,Carson,2020,0.11,660.0,,0.16,0.04,1.65,0.449,0.551,0.141,200.0,0.63,0.37,3.21,17.04,341000.0
TX,Cass,2020,0.174,5230.0,0.26,,0.1,1.65,0.67,0.33,0.264,1770.0,0.71,0.29,2.98,15.81,2508000.0
TX,Castro,2020,0.109,820.0,,0.18,0.06,1.65,0.844,0.156,0.157,340.0,1.0,0.0,2.94,15.58,388000.0
TX,Chambers,2020,0.145,6170.0,0.15,0.19,0.07,1.65,0.475,0.525,0.185,2220.0,0.57,0.43,2.98,15.8,2956000.0
TX,Cherokee,2020,0.146,7630.0,0.26,0.18,0.08,1.65,0.718,0.282,0.22,2920.0,0.89,0.12,2.93,15.54,3597000.0
TX,Childress,2020,0.137,990.0,,0.2,0.1,1.65,0.611,0.389,0.167,230.0,0.91,0.1,3.01,15.99,480000.0
TX,Clay,2020,0.151,1580.0,,,0.08,1.65,0.462,0.538,0.18,380.0,0.59,0.41,3.08,16.34,783000.0
TX,Cochran,2020,0.19,540.0,,0.23,0.12,1.65,0.808,0.192,0.26,200.0,0.88,0.12,3.01,15.96,261000.0
TX,Coke,2020,0.155,510.0,,0.18,0.1,1.65,0.614,0.386,0.197,140.0,0.76,0.24,2.81,14.94,231000.0
TX,Coleman,2020,0.166,1370.0,,0.21,0.1,1.65,0.552,0.448,0.199,360.0,0.5,0.5,3.0,15.92,662000.0
TX,Collin,2020,0.109,109310.0,0.19,0.15,0.05,1.65,0.358,0.642,0.119,31040.0,0.47,0.53,3.41,18.1,60002000.0
TX,Collingsworth,2020,0.154,450.0,,0.21,0.09,1.65,0.799,0.201,0.214,160.0,0.87,0.13,3.01,15.99,218000.0
TX,Colorado,2020,0.112,2390.0,0.22,0.16,0.06,1.65,0.714,0.286,0.176,880.0,0.83,0.17,2.8,14.87,1078000.0
TX,Comal,2020,0.121,17960.0,0.09,0.17,0.06,1.65,0.431,0.569,0.147,4920.0,0.55,0.45,3.19,16.94,9227000.0
TX,Comanche,2020,0.145,1970.0,,0.17,0.11,1.65,0.55,0.45,0.205,620.0,0.59,0.41,2.84,15.09,902000.0
TX,Concho,2020,0.138,420.0,,,0.09,1.65,0.428,0.572,0.248,130.0,0.78,0.22,2.81,14.94,190000.0
TX,Cooke,2020,0.148,5980.0,0.3,0.19,0.08,1.65,0.512,0.488,0.211,2030.0,0.68,0.32,3.12,16.55,3001000.0
TX,Coryell,2020,0.152,11480.0,0.2,0.19,0.1,1.65,0.495,0.505,0.214,3680.0,0.66,0.34,2.8,14.88,5183000.0
TX,Cottle,2020,0.195,320.0,,,0.12,1.65,0.859,0.141,0.266,120.0,0.98,0.02,3.01,15.99,155000.0
TX,Crane,2020,0.104,490.0,,0.13,0.05,1.65,0.675,0.325,0.174,260.0,0.66,0.34,2.82,14.99,223000.0
TX,Crockett,2020,0.145,490.0,,,,1.65,0.629,0.371,0.251,200.0,0.67,0.33,2.81,14.94,222000.0
TX,Crosby,2020,0.158,910.0,,0.23,0.08,1.65,0.792,0.208,0.229,340.0,0.86,0.14,3.24,17.18,474000.0
TX,Culberson,2020,0.198,430.0,,0.27,,1.65,0.845,0.155,0.364,210.0,0.87,0.13,2.96,15.73,205000.0
TX,Dallam,2020,0.12,870.0,,0.21,0.07,1.65,0.931,0.069,0.158,370.0,1.0,0.0,2.84,15.07,398000.0
TX,Dallas,2020,0.142,373560.0,0.25,0.18,0.07,1.65,0.691,0.309,0.235,161260.0,0.79,0.22,3.18,16.89,191408000.0
TX,Dawson,2020,0.181,2330.0,,0.24,0.08,1.65,0.765,0.235,0.265,880.0,0.82,0.18,3.24,17.2,1215000.0
TX,Deaf Smith,2020,0.108,2000.0,,0.17,0.08,1.65,0.928,0.072,0.17,990.0,1.0,0.0,3.39,17.99,1091000.0
TX,Delta,2020,0.165,870.0,,,0.09,1.65,0.565,0.435,0.206,250.0,0.47,0.53,2.91,15.46,408000.0
TX,Denton,2020,0.112,96610.0,0.2,0.15,0.06,1.65,0.395,0.605,0.131,27910.0,0.51,0.49,3.38,17.93,52552000.0
TX,DeWitt,2020,0.156,3150.0,0.25,0.21,0.09,1.65,0.613,0.387,0.212,970.0,0.75,0.26,2.73,14.49,1384000.0
TX,Dickens,2020,0.162,350.0,,0.22,0.09,1.65,0.694,0.306,0.197,90.0,0.76,0.24,3.24,17.18,182000.0
TX,Dimmit,2020,0.231,2370.0,,0.28,0.16,1.65,0.84,0.16,0.33,960.0,0.78,0.22,2.24,11.91,856000.0
TX,Donley,2020,0.125,420.0,,,0.07,1.65,0.493,0.507,0.171,110.0,0.68,0.32,3.21,17.04,217000.0
TX,Duval,2020,0.179,2000.0,,0.22,0.08,1.65,0.725,0.275,0.298,860.0,0.88,0.12,2.85,15.14,918000.0
TX,Eastland,2020,0.179,3280.0,,0.23,0.11,1.65,0.661,0.339,0.231,890.0,0.73,0.28,2.84,15.09,1501000.0
TX,Ector,2020,0.143,23160.0,0.24,0.17,0.08,1.65,0.603,0.397,0.222,10920.0,0.65,0.35,2.82,14.99,10532000.0
TX,Edwards,2020,0.123,240.0,,,,1.65,1.0,0.0,0.186,80.0,1.0,0.0,2.4,12.71,93000.0
TX,Ellis,2020,0.111,19920.0,0.17,0.15,0.05,1.65,0.451,0.549,0.163,7780.0,0.53,0.47,3.08,16.35,9879000.0
TX,El Paso,2020,0.151,126370.0,0.22,0.2,0.1,1.65,0.831,0.169,0.238,54200.0,0.85,0.15,2.96,15.73,60309000.0
TX,Erath,2020,0.138,5840.0,,0.19,0.1,1.65,0.636,0.364,0.166,1460.0,0.63,0.37,2.84,15.09,2673000.0
TX,Falls,2020,0.183,3160.0,0.32,0.24,0.1,1.65,0.66,0.34,0.272,1000.0,0.73,0.27,2.7,14.32,1373000.0
TX,Fannin,2020,0.139,4880.0,0.29,0.19,0.08,1.65,0.567,0.433,0.165,1220.0,0.8,0.2,3.05,16.2,2398000.0
TX,Fayette,2020,0.124,3130.0,0.29,0.16,0.06,1.65,0.556,0.444,0.158,810.0,0.64,0.36,3.08,16.37,1555000.0
TX,Fisher,2020,0.137,520.0,,0.19,0.07,1.65,0.595,0.405,0.179,150.0,0.76,0.24,2.97,15.77,249000.0
TX,Floyd,2020,0.13,750.0,,0.19,0.05,1.65,0.784,0.216,0.201,310.0,0.92,0.08,2.94,15.58,354000.0
TX,Foard,2020,0.127,150.0,,,0.07,1.65,0.919,0.081,0.155,30.0,1.0,0.0,3.01,15.99,73000.0
TX,Fort Bend,2020,0.102,80400.0,0.16,0.15,0.04,1.65,0.446,0.554,0.152,33050.0,0.5,0.5,3.16,16.77,40896000.0
TX,Franklin,2020,0.12,1290.0,,0.14,0.08,1.65,0.436,0.564,0.165,420.0,0.55,0.45,2.73,14.47,566000.0
TX,Freestone,2020,0.17,3360.0,,0.19,0.08,1.65,0.613,0.387,0.228,1020.0,0.71,0.29,2.89,15.36,1565000.0
TX,Frio,2020,0.145,2910.0,,0.2,0.15,1.65,0.558,0.442,0.223,1050.0,0.61,0.39,2.49,13.22,1167000.0
TX,Gaines,2020,0.134,2820.0,,0.2,0.07,1.65,0.606,0.394,0.16,1210.0,0.67,0.33,3.24,17.2,1471000.0
TX,Galveston,2020,0.141,47740.0,0.23,0.18,0.07,1.65,0.521,0.479,0.197,16100.0,0.58,0.42,3.07,16.27,23566000.0
TX,Garza,2020,0.169,1020.0,,0.22,0.12,1.65,0.43,0.57,0.276,230.0,0.69,0.31,3.24,17.18,532000.0
TX,Gillespie,2020,0.13,3470.0,,0.18,0.07,1.65,0.467,0.533,0.18,960.0,0.72,0.28,2.5,13.26,1396000.0
TX,Glasscock,2020,0.133,190.0,,,,1.65,0.68,0.32,0.14,40.0,0.93,0.08,2.95,15.67,90000.0
TX,Goliad,2020,0.141,1070.0,,0.21,0.06,1.65,0.638,0.362,0.187,300.0,0.66,0.34,2.82,14.97,486000.0
TX,Gonzales,2020,0.131,2740.0,0.28,0.17,0.08,1.65,0.684,0.316,0.199,1120.0,0.72,0.28,2.79,14.83,1232000.0
TX,Gray,2020,0.157,3470.0,0.27,0.19,0.09,1.65,0.632,0.368,0.206,1160.0,0.74,0.26,3.21,17.04,1794000.0
TX,Grayson,2020,0.146,19450.0,0.27,0.17,0.09,1.65,0.537,0.463,0.195,6170.0,0.7,0.3,2.92,15.51,9150000.0
TX,Gregg,2020,0.168,20810.0,0.26,0.2,0.09,1.65,0.674,0.326,0.254,8110.0,0.76,0.24,2.93,15.55,9814000.0
TX,Grimes,2020,0.15,4270.0,0.27,0.17,0.08,1.65,0.606,0.394,0.243,1540.0,0.76,0.24,3.33,17.67,2289000.0
TX,Guadalupe,2020,0.111,18060.0,0.15,0.17,0.06,1.65,0.511,0.489,0.162,6620.0,0.59,0.41,3.13,16.63,9109000.0
TX,Hale,2020,0.14,4680.0,,0.19,0.08,1.65,0.73,0.27,0.207,1880.0,0.92,0.08,2.94,15.58,2212000.0
TX,Hall,2020,0.17,510.0,,0.24,0.11,1.65,0.889,0.111,0.234,160.0,1.0,0.0,3.21,17.04,264000.0
TX,Hamilton,2020,0.171,1440.0,,0.26,0.09,1.65,0.622,0.378,0.191,340.0,0.84,0.16,2.84,15.09,659000.0
TX,Hansford,2020,0.111,600.0,,0.19,0.07,1.65,0.835,0.165,0.147,240.0,0.82,0.19,2.8,14.87,271000.0
TX,Hardeman,2020,0.152,600.0,,0.19,0.09,1.65,0.646,0.354,0.192,150.0,0.6,0.4,3.01,15.99,291000.0
TX,Hardin,2020,0.161,9210.0,0.23,0.18,0.08,1.65,0.51,0.49,0.203,2870.0,0.55,0.45,2.93,15.56,4347000.0
TX,Harris,2020,0.149,695310.0,0.25,0.18,0.07,1.65,0.667,0.333,0.237,295900.0,0.73,0.27,3.06,16.24,342591000.0
TX,Harrison,2020,0.16,10630.0,0.26,0.19,0.08,1.65,0.637,0.363,0.24,4030.0,0.68,0.33,2.97,15.76,5083000.0
TX,Hartley,2020,0.109,610.0,,0.16,0.05,1.65,0.347,0.653,0.143,170.0,0.71,0.29,2.84,15.07,279000.0
TX,Haskell,2020,0.153,870.0,,0.25,0.09,1.65,0.683,0.317,0.183,190.0,0.82,0.18,2.97,15.77,416000.0
TX,Hays,2020,0.12,26660.0,0.21,0.17,0.08,1.65,0.583,0.417,0.148,7580.0,0.62,0.38,3.1,16.47,13321000.0
TX,Hemphill,2020,0.129,500.0,,0.19,0.08,1.65,0.462,0.538,0.176,200.0,0.53,0.47,3.21,17.04,258000.0
TX,Henderson,2020,0.167,13710.0,0.29,0.21,0.1,1.65,0.69,0.31,0.24,4190.0,0.84,0.16,3.1,16.44,6838000.0
TX,Hidalgo,2020,0.191,164720.0,0.22,0.22,0.11,1.65,0.899,0.101,0.297,83470.0,0.9,0.1,2.46,13.07,65298000.0
TX,Hill,2020,0.149,5370.0,0.3,0.18,0.09,1.65,0.6,0.4,0.206,1730.0,0.72,0.29,2.99,15.85,2581000.0
TX,Hockley,2020,0.147,3390.0,,0.2,0.08,1.65,0.705,0.295,0.209,1260.0,0.72,0.28,3.01,15.96,1641000.0
