State,"County, State",Year,Overall Food Insecurity Rate,# of Food Insecure Persons Overall,Food Insecurity Rate among Black Persons (all ethnicities),Food Insecurity Rate among Hispanic Persons (any race),"Food Insecurity Rate among White, non-Hispanic Persons",SNAP Threshold,% FI ≤ SNAP Threshold,% FI > SNAP Threshold,Child Food Insecurity Rate,# of Food Insecure Children,% food insecure children in HH w/ HH incomes below 185 FPL,% food insecure children in HH w/ HH incomes above 185 FPL,Cost Per Meal,Weighted weekly $ needed by FI,Weighted Annual Food Budget Shortfall
TX,Coke,2019,0.155,510.0,,0.17,0.11,1.65,0.569,0.431,0.207,140.0,0.65,0.35,2.85,16.05,248000.0
TX,Coleman,2019,0.161,1340.0,,0.16,0.11,1.65,0.519,0.481,0.197,350.0,0.52,0.48,2.87,16.18,658000.0
TX,Collin,2019,0.111,107700.0,0.16,0.13,0.07,1.65,0.355,0.645,0.133,34000.0,0.44,0.56,3.25,18.33,59867000.0
TX,Collingsworth,2019,0.154,460.0,,0.17,0.11,1.65,0.788,0.212,0.243,180.0,0.89,0.11,3.01,16.98,237000.0
TX,Colorado,2019,0.117,2480.0,0.22,0.15,0.07,1.65,0.651,0.349,0.181,900.0,0.77,0.23,2.72,15.34,1154000.0
TX,Comal,2019,0.122,17230.0,0.07,0.16,0.08,1.65,0.422,0.578,0.159,5110.0,0.59,0.41,3.15,17.73,9264000.0
TX,Comanche,2019,0.141,1910.0,,0.15,0.11,1.65,0.515,0.485,0.197,590.0,0.62,0.38,2.88,16.21,939000.0
TX,Concho,2019,0.13,420.0,,0.19,0.09,1.65,0.459,0.541,0.214,110.0,0.86,0.14,2.78,15.65,199000.0
TX,Cooke,2019,0.147,5880.0,0.31,0.18,0.1,1.65,0.514,0.486,0.215,2050.0,0.7,0.3,3.07,17.29,3084000.0
TX,Coryell,2019,0.163,12230.0,0.21,0.19,0.13,1.65,0.518,0.482,0.228,3980.0,0.71,0.29,2.75,15.49,5746000.0
TX,Cottle,2019,0.231,380.0,,,0.15,1.65,0.832,0.168,0.345,180.0,0.87,0.13,2.99,16.88,195000.0
